시험명,시험 방법,시험 기준,시험 기간,시험 결과,검수 결과
순도시험,"자가지시(그람염색법, 평판도말법)","그람음성간균으로 확인되어야 하며, 오염이
없어야 함",2025.04,적합,검수합격
박테리오파지확인시험,자가지시(Plaque assay법),N/A,2025.04,적합,검수합격
미생물종확인시험,자가지시(Gyrase B 분석법(PCR 및 전기영동)),"PCR 및 전기영동 후 밴드를 확인하였을 때 E.coli
로 확인되어야 함",2025.04,적합,검수합격
염기서열분석시험,자가지시(염기서열분석법),예상되는 염기서열과 일치하여야 함,2025.04,적합,검수합격
제한효소지도분석시험,자가지시 (제한효소지도 분석법),"밴드가 1,453 및 4,259 bp 부근에서 확인되어야 함",2025.04,"1,453 bp 및 4,259 bp 밴드 검출",검수합격
생균수시험,자가지시(평판도말법),1.0 x 10^6 CFU/mL 이상,2025.04,1.2 x 10^6,검수합격
플라스미드 대장균수확인시험,자가지시(선택적 표지자 유지 확인시험방법),실측치,2025.04,선택적 표지자 유지 확인율: 99.1% (적합),검수합격
확인시험,자가지시(유전자 복제수 확인 시험법),실측치,2025.04,평균 유전자 복제수:52 copy (기준 만족),검수보류
